Date,Close,High,Low,Open,Volume
1999-01-22,0.03760489076375961,0.04476720030332596,0.03557501920987287,0.040111514837721254,2714688000
1999-01-25,0.041544511914253235,0.042021264241855726,0.03760487558208047,0.04058916973413708,510480000
1999-01-26,0.038320936262607574,0.04285743164847312,0.03772407517378723,0.04202127896502816,343200000
1999-01-27,0.038201745599508286,0.03939546433568518,0.0362910640268942,0.03844012184164067,244368000
1999-01-28,0.03808163106441498,0.038440112394532586,0.03784325488086634,0.038201736210983946,227520000
1999-01-29,0.03629106283187866,0.038201744341576596,0.03629106283187866,0.038081639169445285,244032000
1999-02-01,0.037008024752140045,0.03724640098067382,0.036291061956603324,0.036291061956603324,154704000
1999-02-02,0.03414291515946388,0.037246399849691324,0.033068386346017074,0.03629106085462959,264096000
1999-02-03,0.03485895320773125,0.03533662428448895,0.03342594339293185,0.0336652383125257,75120000
1999-02-04,0.03676873818039894,0.03772407733448584,0.03485896838862965,0.0353366396734107,181920000
1999-02-05,0.03784327208995819,0.03820175358309397,0.03641117681236277,0.037365600743109885,136848000
1999-02-08,0.036530353128910065,0.03820174299830211,0.036530353128910065,0.03808163783039401,154080000
1999-02-09,0.035097334533929825,0.037484771274571366,0.03461966343330634,0.03724639169002368,86976000
1999-02-10,0.034739766269922256,0.03605267093001956,0.034142905416586725,0.035097332207569304,148224000
1999-02-11,0.037724073976278305,0.03915616894030585,0.03485896528547489,0.03485896528547489,132240000
1999-02-12,0.03987312689423561,0.04011150308442512,0.03820173727523719,0.03820173727523719,109728000
1999-02-16,0.04011151194572449,0.04226057318242255,0.0360526844779394,0.04058918319418631,211008000
1999-02-17,0.03796243295073509,0.03963382215711901,0.037246385794379264,0.039156151132104966,67728000
1999-02-18,0.03855930641293526,0.039633835173797954,0.03748477765207256,0.03915616399190552,70704000
1999-02-19,0.03987312689423561,0.04058917422736143,0.03772406613230088,0.03820173727523719,75360000
1999-02-22,0.04011151194572449,0.04106685444264813,0.03796245070902642,0.04058918319418631,205248000
1999-02-23,0.042021263390779495,0.04285741576432314,0.038679403352968364,0.041066839992449304,138096000
1999-02-24,0.04536404460668564,0.0501398334869239,0.044289516016949505,0.04822915247911859,612768000
1999-02-25,0.043931957334280014,0.04870683165903367,0.0432149911754564,0.04727473345118836,149136000
1999-02-26,0.0419020801782608,0.045841716727673405,0.04154451420510508,0.044409622140986045,172608000
1999-03-01,0.0421413779258728,0.04393195751266321,0.04011150677976465,0.04297661513877809,92160000
1999-03-02,0.04178289696574211,0.04226056815740617,0.041066849559571524,0.04202127318024863,55248000
1999-03-03,0.03891780227422714,0.042021287968234976,0.03867942597583205,0.042021287968234976,61392000
1999-03-04,0.03808163106441498,0.04106684422622612,0.037724065081354966,0.040827549280145786,57360000
1999-03-05,0.04023069888353348,0.040349885288655546,0.03844011919482216,0.03844011919482216,78768000
1999-03-08,0.04082755744457245,0.042021276126091064,0.03844012008153522,0.0391561675379033,75888000
1999-03-09,0.0421413779258728,0.04273823892662777,0.04070836778051962,0.04070836778051962,143184000
1999-03-10,0.04142442345619202,0.04273824746570869,0.04082756233618448,0.04273824746570869,235344000
1999-03-11,0.03963383659720421,0.04142441622937065,0.03963383659720421,0.04070836881213204,54288000
1999-03-12,0.03891780227422714,0.039873144993756174,0.03820175461606754,0.039873144993756174,90768000
1999-03-15,0.04058917984366417,0.04106685105269558,0.039633837425601344,0.03987313241145926,108816000
1999-03-16,0.03927627205848694,0.04130522798614158,0.03891779066261527,0.04082755676889627,79152000
1999-03-17,0.03951464220881462,0.04034987585858707,0.03855930000382145,0.03963382858608194,51360000
1999-03-18,0.039992302656173706,0.04058915997691709,0.038679394838228416,0.039633818026455395,46320000
1999-03-19,0.04011151194572449,0.04130523068549891,0.03987313570287371,0.03987313570287371,105312000
1999-03-22,0.03891780227422714,0.04106686401168029,0.03891780227422714,0.04094675880724627,36672000
1999-03-23,0.036530353128910065,0.03915616666460119,0.03581430568851202,0.03915616666460119,163968000
1999-03-24,0.03629106283187866,0.036530354413414054,0.03485896448525151,0.03629106283187866,60864000
1999-03-25,0.03676873818039894,0.03820174861926689,0.03605268721916722,0.036171877057392554,40320000
